,collocate,raw_frequency,MI
674,Pemberton,1,4.089191886577521
675,Perault,1,4.847721826400318
676,Perfectly,1,4.141151625508232
677,Perhaps,2,1.4849406767683706
678,Perkins,1,3.929630914022015
679,Peter,2,2.031073114366506
680,Peters,1,3.484207493612247
681,Philadelphia,1,3.843519222203283
682,Philammon,1,3.5146191940302707
683,Philander,1,8.864104847152706
684,Philip,3,2.4422116133507634
685,Philippe,1,5.239763914176342
686,Phoenix,1,3.533804434751619
687,Pip,1,3.456933075692588
688,Platt,1,6.261415161708323
689,Pleasant,1,5.1029047314591445
690,Pleydell,1,5.645229022284506
691,Plumfield,1,7.4778104860328165
692,Poles,1,5.707104426002593
693,Polish,1,4.392466053789138
694,Polly,2,2.678925559421327
695,Pontellier,1,4.239132033868436
696,Pontiac,1,5.496809017166233
697,Poor,1,1.4872838786528106
698,Pray,1,2.5088656189907694
699,Presbyterian,1,5.150532780448399
700,Presently,2,2.318396055911213
701,Presley,1,3.256466233049408
702,Pretty,1,3.731251920332202
703,Prince,3,2.159894761416151
704,Princes,1,4.856771661920236
705,Princess,1,2.0359340475134124
706,Professor,1,2.303074181256134
707,Prospect,1,6.561519754158661
708,Provence,1,5.686051016804761
709,Providence,1,2.749317084012726
710,Pye,1,7.611341878657338
711,Quaker,1,4.29975665568487
712,Quakers,1,5.568267981148377
713,Queen,1,1.57381196470611
714,Quervos,1,6.9923026702511155
715,Quite,1,2.5158403639178415
716,Racksole,1,3.1503720416433376
717,Radowitz,1,4.127906398758212
718,Ranald,1,2.4498265536019477
719,Rattle,1,6.9923026702511155
720,Rawdon,2,3.955133206832951
721,Rebecca,2,2.5860525761739805
722,Reffold,1,4.838753156417558
723,Regarding,1,6.001903966223239
724,Reuben,2,3.746111034735952
725,Rex,1,3.092663724022691
726,Rezanov,1,3.9514499614166545
727,Rhuddlans,1,9.557252027712652
728,Rich,1,5.226518687426321
729,Richard,2,2.4601168275691143
730,Richmond,1,4.274048298974663
731,Right,1,3.1788258440610653
732,River,1,2.6296941214343352
733,Rivers,1,3.6223578320930643
734,Riviera,1,5.175225393038771
735,Road,1,2.655514821056078
736,Robert,4,2.260499833329658
737,Robin,1,2.892843007362244
738,Roldan,1,3.5508988681109193
739,Romani,1,4.922523039483016
740,Rome,3,3.0147800672058476
741,Romeos,1,8.458639739044543
742,Rosabella,1,4.159089326194899
743,Rosalind,2,3.7904947538950626
744,Rose,2,2.2417010252840686
745,Russia,1,3.1737453928286468
746,Ruth,1,3.338651908020923
747,S,2,2.5665352280161677
748,SNODGRASS,1,9.557252027712652
749,Sabbath,2,4.549955634881911
750,Safie,1,6.338376202844452
751,Said,1,4.268984997018117
752,Samantha,1,8.170957666592761
753,Samuel,1,3.7521170587961636
754,San,2,2.919338903053965
755,Sara,1,2.9642074935702154
756,Saracinesca,1,3.307276785453169
757,Sarah,1,2.838238873327392
758,Saturday,1,2.3628151766123175
759,Sawyer,1,4.310227955552166
760,Saxons,1,5.057442357382387
761,Scarlet,1,4.4635018269058895
762,Scots,1,4.076613104370661
763,Scream,1,8.458639739044543
764,Scythrop,1,4.375468477420567
765,Sedley,1,2.9601063258260005
766,See,1,1.8596766809103091
767,Seeing,1,3.385551430301737
768,Seventh,1,5.868372573598716
769,Sewell,1,5.294572150671336
770,Shall,1,1.9023349798643314
771,She,79,2.4549714800597835
772,Shere,1,4.769760284930606
773,Shou,1,9.557252027712652
